Time, Position, Rotation
14:42:09:837,(0.897. 1.355. -0.083),(0.207. 0.665. -0.294. 0.655)
14:42:10:365,(0.898. 1.357. -0.087),(0.210. 0.662. -0.290. 0.658)
14:42:10:874,(0.902. 1.356. -0.086),(0.212. 0.660. -0.293. 0.658)
14:42:11:385,(0.903. 1.356. -0.085),(0.213. 0.659. -0.294. 0.659)
14:42:11:892,(0.911. 1.356. -0.111),(0.213. 0.662. -0.295. 0.655)
14:42:12:403,(0.915. 1.356. -0.108),(0.214. 0.661. -0.295. 0.655)
14:42:12:906,(0.916. 1.357. -0.103),(0.217. 0.659. -0.293. 0.658)
14:42:13:413,(0.921. 1.360. -0.098),(0.221. 0.658. -0.289. 0.659)
14:42:13:923,(0.880. 1.424. -0.118),(-0.012. 0.808. -0.176. 0.562)
14:42:14:431,(0.822. 1.447. -0.139),(-0.099. 0.903. -0.148. 0.391)
14:42:14:94,(0.745. 1.459. -0.182),(-0.101. 0.949. -0.122. 0.272)
14:42:15:451,(0.712. 1.472. -0.213),(-0.099. 0.953. -0.094. 0.269)
14:42:15:964,(0.744. 1.463. -0.229),(-0.085. 0.940. -0.129. 0.305)
14:42:16:473,(0.789. 1.457. -0.231),(-0.047. 0.925. -0.153. 0.346)
14:42:16:984,(0.796. 1.455. -0.231),(-0.034. 0.921. -0.159. 0.353)
14:42:17:496,(0.802. 1.449. -0.230),(-0.030. 0.908. -0.175. 0.380)
14:42:18:005,(0.816. 1.446. -0.231),(-0.026. 0.889. -0.186. 0.418)
14:42:18:517,(0.812. 1.446. -0.236),(-0.027. 0.889. -0.183. 0.419)
14:42:19:027,(0.784. 1.460. -0.237),(-0.037. 0.920. -0.147. 0.363)
14:42:19:539,(0.762. 1.466. -0.229),(-0.042. 0.938. -0.131. 0.317)
14:42:20:049,(0.753. 1.467. -0.223),(-0.043. 0.942. -0.129. 0.307)
14:42:20:549,(0.753. 1.470. -0.218),(-0.044. 0.944. -0.124. 0.303)
14:42:21:06,(0.731. 1.478. -0.212),(-0.049. 0.963. -0.093. 0.246)
14:42:21:57,(0.714. 1.481. -0.209),(-0.057. 0.976. -0.084. 0.191)
14:42:22:092,(0.697. 1.482. -0.205),(-0.060. 0.982. -0.080. 0.158)
14:42:22:602,(0.694. 1.481. -0.203),(-0.064. 0.984. -0.079. 0.145)
14:42:23:114,(0.694. 1.481. -0.206),(-0.067. 0.984. -0.076. 0.148)
14:42:23:625,(0.691. 1.482. -0.206),(-0.066. 0.983. -0.074. 0.155)
14:42:24:129,(0.691. 1.481. -0.204),(-0.073. 0.982. -0.074. 0.157)
14:42:24:637,(0.694. 1.485. -0.204),(-0.072. 0.980. -0.069. 0.171)
14:42:25:159,(0.694. 1.482. -0.208),(-0.079. 0.979. -0.074. 0.172)
14:42:25:669,(0.696. 1.481. -0.210),(-0.083. 0.978. -0.076. 0.174)
14:42:26:179,(0.698. 1.480. -0.211),(-0.081. 0.978. -0.079. 0.178)
14:42:26:712,(0.698. 1.479. -0.213),(-0.082. 0.978. -0.078. 0.176)
14:42:27:191,(0.702. 1.478. -0.219),(-0.081. 0.978. -0.081. 0.176)
14:42:27:702,(0.705. 1.478. -0.219),(-0.081. 0.977. -0.082. 0.178)
14:42:28:211,(0.707. 1.478. -0.218),(-0.079. 0.977. -0.081. 0.178)
14:42:28:713,(0.710. 1.477. -0.222),(-0.080. 0.976. -0.084. 0.183)
14:42:29:224,(0.709. 1.476. -0.224),(-0.081. 0.975. -0.086. 0.186)
14:42:29:735,(0.708. 1.476. -0.223),(-0.081. 0.975. -0.084. 0.189)
14:42:30:256,(0.709. 1.475. -0.221),(-0.078. 0.974. -0.087. 0.193)
14:42:30:768,(0.711. 1.476. -0.221),(-0.079. 0.974. -0.087. 0.193)
14:42:31:278,(0.710. 1.475. -0.219),(-0.080. 0.973. -0.088. 0.195)
14:42:31:801,(0.709. 1.477. -0.215),(-0.081. 0.973. -0.084. 0.199)
14:42:32:311,(0.710. 1.475. -0.214),(-0.079. 0.973. -0.089. 0.200)
14:42:32:822,(0.712. 1.475. -0.208),(-0.081. 0.970. -0.088. 0.211)
14:42:33:335,(0.714. 1.477. -0.206),(-0.080. 0.969. -0.087. 0.217)
14:42:33:855,(0.718. 1.475. -0.208),(-0.079. 0.968. -0.091. 0.218)
14:42:34:366,(0.717. 1.474. -0.207),(-0.081. 0.968. -0.093. 0.219)
14:42:34:877,(0.715. 1.476. -0.205),(-0.079. 0.967. -0.090. 0.225)
14:42:35:398,(0.717. 1.476. -0.209),(-0.080. 0.966. -0.092. 0.227)
