Time, Position, Rotation
10:40:48:242,(-1.274. 0.571. -2.010),(0.314. 0.430. -0.166. 0.830)
10:40:48:283,(-1.274. 0.571. -2.010),(0.313. 0.430. -0.166. 0.831)
10:40:48:302,(-1.286. 0.590. -1.993),(0.303. 0.442. -0.166. 0.828)
10:40:48:316,(-1.288. 0.595. -1.990),(0.305. 0.438. -0.163. 0.830)
10:40:48:337,(-1.290. 0.600. -1.987),(0.309. 0.432. -0.160. 0.832)
10:40:48:349,(-1.292. 0.604. -1.983),(0.312. 0.425. -0.156. 0.835)
10:40:48:36,(-1.294. 0.607. -1.981),(0.314. 0.420. -0.154. 0.837)
10:40:48:372,(-1.295. 0.609. -1.979),(0.316. 0.416. -0.151. 0.839)
10:40:48:387,(-1.296. 0.611. -1.977),(0.318. 0.410. -0.149. 0.842)
10:40:48:404,(-1.298. 0.615. -1.973),(0.323. 0.399. -0.145. 0.846)
10:40:48:417,(-1.299. 0.617. -1.970),(0.325. 0.393. -0.142. 0.848)
10:40:48:429,(-1.300. 0.618. -1.968),(0.327. 0.387. -0.140. 0.851)
10:40:48:441,(-1.301. 0.619. -1.965),(0.330. 0.381. -0.138. 0.853)
10:40:48:46,(-1.303. 0.622. -1.960),(0.334. 0.369. -0.134. 0.857)
10:40:48:482,(-1.304. 0.622. -1.957),(0.336. 0.362. -0.132. 0.859)
10:40:48:635,(-1.304. 0.623. -1.954),(0.338. 0.356. -0.130. 0.861)
10:40:48:65,(-1.312. 0.635. -1.905),(0.328. 0.300. -0.124. 0.887)
10:40:48:673,(-1.312. 0.639. -1.897),(0.324. 0.299. -0.128. 0.889)
10:40:48:695,(-1.313. 0.645. -1.885),(0.317. 0.299. -0.132. 0.890)
10:40:48:718,(-1.313. 0.650. -1.876),(0.314. 0.303. -0.133. 0.890)
10:40:48:738,(-1.314. 0.655. -1.868),(0.311. 0.308. -0.132. 0.889)
10:40:48:761,(-1.313. 0.661. -1.860),(0.307. 0.313. -0.132. 0.889)
10:40:48:783,(-1.312. 0.666. -1.852),(0.303. 0.319. -0.132. 0.888)
10:40:48:805,(-1.312. 0.672. -1.844),(0.300. 0.324. -0.130. 0.888)
10:40:48:829,(-1.311. 0.677. -1.836),(0.298. 0.330. -0.126. 0.887)
10:40:48:849,(-1.309. 0.683. -1.828),(0.296. 0.335. -0.123. 0.886)
10:40:48:872,(-1.308. 0.688. -1.821),(0.292. 0.340. -0.123. 0.885)
10:40:48:894,(-1.307. 0.694. -1.814),(0.286. 0.346. -0.123. 0.885)
10:40:48:916,(-1.305. 0.699. -1.808),(0.278. 0.355. -0.122. 0.884)
10:40:48:939,(-1.305. 0.705. -1.801),(0.273. 0.365. -0.122. 0.882)
10:40:48:961,(-1.304. 0.711. -1.795),(0.272. 0.375. -0.124. 0.877)
10:40:48:985,(-1.304. 0.717. -1.789),(0.272. 0.384. -0.127. 0.873)
10:40:49:005,(-1.303. 0.723. -1.784),(0.272. 0.389. -0.132. 0.870)
10:40:49:027,(-1.302. 0.730. -1.779),(0.274. 0.391. -0.138. 0.868)
10:40:49:05,(-1.300. 0.736. -1.776),(0.278. 0.387. -0.144. 0.867)
10:40:49:072,(-1.299. 0.741. -1.772),(0.287. 0.378. -0.148. 0.868)
10:40:49:094,(-1.296. 0.748. -1.769),(0.296. 0.362. -0.150. 0.871)
10:40:49:117,(-1.292. 0.756. -1.767),(0.304. 0.341. -0.151. 0.877)
10:40:49:139,(-1.288. 0.766. -1.765),(0.316. 0.318. -0.151. 0.881)
10:40:49:161,(-1.283. 0.777. -1.762),(0.330. 0.296. -0.148. 0.884)
10:40:49:183,(-1.277. 0.791. -1.760),(0.342. 0.276. -0.144. 0.886)
10:40:49:205,(-1.270. 0.807. -1.757),(0.351. 0.260. -0.139. 0.889)
10:40:49:226,(-1.262. 0.824. -1.754),(0.359. 0.248. -0.134. 0.890)
10:40:49:249,(-1.254. 0.843. -1.750),(0.363. 0.240. -0.126. 0.891)
10:40:49:271,(-1.246. 0.863. -1.746),(0.362. 0.238. -0.117. 0.894)
10:40:49:293,(-1.236. 0.885. -1.740),(0.360. 0.239. -0.106. 0.896)
10:40:49:316,(-1.227. 0.908. -1.735),(0.356. 0.243. -0.093. 0.898)
10:40:49:339,(-1.218. 0.931. -1.729),(0.350. 0.249. -0.078. 0.899)
10:40:49:36,(-1.209. 0.955. -1.723),(0.341. 0.257. -0.062. 0.902)
10:40:49:383,(-1.201. 0.979. -1.717),(0.329. 0.267. -0.046. 0.905)
10:40:49:405,(-1.192. 1.003. -1.711),(0.314. 0.275. -0.030. 0.908)
10:40:49:429,(-1.184. 1.026. -1.706),(0.298. 0.282. -0.014. 0.912)
10:40:49:452,(-1.177. 1.048. -1.700),(0.279. 0.287. 0.001. 0.916)
10:40:49:472,(-1.169. 1.069. -1.695),(0.259. 0.291. 0.015. 0.921)
10:40:49:496,(-1.163. 1.088. -1.691),(0.242. 0.293. 0.026. 0.924)
10:40:49:517,(-1.157. 1.107. -1.687),(0.228. 0.295. 0.032. 0.927)
10:40:49:544,(-1.152. 1.124. -1.684),(0.216. 0.295. 0.038. 0.930)
10:40:49:562,(-1.148. 1.140. -1.682),(0.205. 0.295. 0.044. 0.932)
10:40:49:584,(-1.146. 1.154. -1.680),(0.195. 0.294. 0.048. 0.935)
10:40:49:605,(-1.143. 1.168. -1.679),(0.189. 0.291. 0.049. 0.937)
10:40:49:627,(-1.142. 1.180. -1.679),(0.185. 0.287. 0.049. 0.939)
10:40:49:651,(-1.142. 1.190. -1.679),(0.185. 0.282. 0.049. 0.940)
10:40:49:672,(-1.142. 1.200. -1.680),(0.188. 0.276. 0.049. 0.941)
10:40:49:694,(-1.143. 1.209. -1.682),(0.195. 0.269. 0.048. 0.942)
10:40:49:716,(-1.144. 1.217. -1.684),(0.204. 0.261. 0.044. 0.942)
10:40:49:738,(-1.147. 1.225. -1.687),(0.217. 0.254. 0.040. 0.942)
10:40:49:76,(-1.150. 1.233. -1.691),(0.233. 0.248. 0.035. 0.940)
10:40:49:784,(-1.154. 1.243. -1.694),(0.249. 0.241. 0.035. 0.937)
10:40:49:806,(-1.159. 1.254. -1.696),(0.262. 0.234. 0.038. 0.936)
10:40:49:828,(-1.164. 1.266. -1.698),(0.273. 0.226. 0.038. 0.935)
10:40:49:85,(-1.169. 1.278. -1.700),(0.281. 0.217. 0.036. 0.934)
10:40:49:872,(-1.173. 1.292. -1.701),(0.287. 0.211. 0.035. 0.934)
10:40:49:895,(-1.176. 1.307. -1.701),(0.289. 0.202. 0.043. 0.935)
10:40:49:916,(-1.179. 1.324. -1.699),(0.295. 0.196. 0.049. 0.934)
10:40:49:938,(-1.182. 1.342. -1.697),(0.305. 0.190. 0.044. 0.932)
10:40:49:961,(-1.186. 1.361. -1.697),(0.315. 0.184. 0.037. 0.931)
10:40:49:983,(-1.191. 1.379. -1.697),(0.326. 0.186. 0.035. 0.926)
10:40:50:005,(-1.195. 1.396. -1.698),(0.336. 0.188. 0.031. 0.922)
10:40:50:026,(-1.200. 1.413. -1.700),(0.344. 0.191. 0.026. 0.919)
10:40:50:05,(-1.204. 1.427. -1.701),(0.347. 0.200. 0.017. 0.916)
10:40:50:071,(-1.208. 1.440. -1.703),(0.348. 0.207. 0.009. 0.914)
10:40:50:094,(-1.213. 1.451. -1.704),(0.347. 0.217. 0.005. 0.913)
10:40:50:116,(-1.218. 1.460. -1.706),(0.344. 0.226. 0.000. 0.911)
10:40:50:138,(-1.222. 1.466. -1.706),(0.333. 0.234. -0.005. 0.913)
10:40:50:16,(-1.224. 1.471. -1.704),(0.327. 0.241. -0.006. 0.914)
10:40:50:182,(-1.225. 1.475. -1.701),(0.324. 0.246. -0.010. 0.913)
10:40:50:205,(-1.220. 1.476. -1.694),(0.315. 0.211. -0.013. 0.925)
10:40:50:227,(-1.216. 1.474. -1.681),(0.300. 0.181. -0.001. 0.937)
10:40:50:25,(-1.212. 1.473. -1.667),(0.286. 0.153. 0.014. 0.946)
10:40:50:272,(-1.207. 1.473. -1.655),(0.286. 0.128. 0.026. 0.949)
10:40:50:294,(-1.206. 1.473. -1.642),(0.285. 0.133. 0.033. 0.949)
10:40:50:316,(-1.205. 1.474. -1.629),(0.290. 0.139. 0.031. 0.946)
10:40:50:338,(-1.203. 1.475. -1.616),(0.286. 0.146. 0.017. 0.947)
10:40:50:361,(-1.202. 1.476. -1.602),(0.279. 0.166. 0.011. 0.946)
10:40:50:382,(-1.201. 1.478. -1.588),(0.269. 0.184. 0.011. 0.945)
10:40:50:405,(-1.199. 1.479. -1.574),(0.259. 0.203. 0.009. 0.944)
10:40:50:427,(-1.197. 1.480. -1.561),(0.248. 0.224. 0.011. 0.942)
10:40:50:449,(-1.196. 1.481. -1.549),(0.234. 0.242. 0.017. 0.941)
10:40:50:471,(-1.195. 1.482. -1.537),(0.225. 0.259. 0.023. 0.939)
10:40:50:493,(-1.196. 1.482. -1.526),(0.224. 0.273. 0.028. 0.935)
10:40:50:516,(-1.197. 1.483. -1.514),(0.229. 0.281. 0.029. 0.931)
10:40:50:538,(-1.199. 1.483. -1.503),(0.240. 0.280. 0.023. 0.929)
10:40:50:562,(-1.202. 1.483. -1.490),(0.249. 0.273. 0.014. 0.929)
10:40:50:583,(-1.202. 1.482. -1.477),(0.256. 0.253. 0.005. 0.933)
10:40:50:605,(-1.202. 1.482. -1.463),(0.261. 0.233. 0.002. 0.937)
10:40:50:628,(-1.201. 1.483. -1.449),(0.267. 0.215. 0.005. 0.940)
10:40:50:651,(-1.199. 1.483. -1.434),(0.267. 0.204. 0.007. 0.942)
10:40:50:672,(-1.198. 1.483. -1.420),(0.269. 0.203. 0.004. 0.942)
10:40:50:695,(-1.196. 1.484. -1.406),(0.270. 0.207. -0.004. 0.940)
10:40:50:717,(-1.193. 1.486. -1.393),(0.271. 0.214. -0.010. 0.938)
10:40:50:739,(-1.191. 1.487. -1.380),(0.271. 0.221. -0.017. 0.937)
10:40:50:759,(-1.188. 1.488. -1.367),(0.270. 0.226. -0.024. 0.936)
10:40:50:782,(-1.185. 1.488. -1.354),(0.266. 0.231. -0.030. 0.935)
10:40:50:804,(-1.183. 1.487. -1.341),(0.259. 0.238. -0.037. 0.935)
10:40:50:827,(-1.181. 1.486. -1.329),(0.247. 0.256. -0.053. 0.933)
10:40:50:85,(-1.179. 1.485. -1.317),(0.234. 0.274. -0.078. 0.929)
10:40:50:871,(-1.177. 1.483. -1.301),(0.224. 0.301. -0.100. 0.922)
10:40:50:894,(-1.174. 1.482. -1.284),(0.215. 0.313. -0.115. 0.918)
10:40:50:916,(-1.170. 1.480. -1.270),(0.208. 0.310. -0.126. 0.919)
10:40:50:938,(-1.164. 1.478. -1.257),(0.206. 0.301. -0.131. 0.922)
10:40:50:96,(-1.157. 1.476. -1.246),(0.205. 0.283. -0.126. 0.929)
10:40:50:982,(-1.150. 1.475. -1.236),(0.205. 0.266. -0.116. 0.935)
10:40:51:005,(-1.142. 1.475. -1.225),(0.206. 0.252. -0.112. 0.939)
10:40:51:027,(-1.134. 1.476. -1.213),(0.212. 0.242. -0.111. 0.940)
10:40:51:05,(-1.125. 1.478. -1.203),(0.220. 0.231. -0.103. 0.942)
10:40:51:074,(-1.117. 1.481. -1.193),(0.231. 0.222. -0.090. 0.943)
10:40:51:094,(-1.108. 1.485. -1.182),(0.243. 0.214. -0.077. 0.943)
10:40:51:116,(-1.100. 1.490. -1.171),(0.260. 0.211. -0.069. 0.940)
10:40:51:137,(-1.093. 1.495. -1.161),(0.273. 0.211. -0.063. 0.936)
10:40:51:16,(-1.087. 1.499. -1.150),(0.279. 0.217. -0.062. 0.933)
10:40:51:183,(-1.081. 1.502. -1.140),(0.279. 0.225. -0.063. 0.931)
10:40:51:204,(-1.076. 1.505. -1.131),(0.278. 0.234. -0.065. 0.929)
10:40:51:226,(-1.071. 1.506. -1.122),(0.276. 0.242. -0.068. 0.928)
10:40:51:249,(-1.067. 1.508. -1.113),(0.273. 0.247. -0.070. 0.927)
10:40:51:271,(-1.064. 1.509. -1.104),(0.271. 0.249. -0.076. 0.927)
10:40:51:293,(-1.061. 1.511. -1.095),(0.269. 0.251. -0.083. 0.926)
10:40:51:315,(-1.058. 1.511. -1.087),(0.269. 0.251. -0.087. 0.926)
10:40:51:337,(-1.056. 1.512. -1.079),(0.270. 0.249. -0.090. 0.926)
10:40:51:36,(-1.053. 1.512. -1.071),(0.271. 0.246. -0.092. 0.926)
10:40:51:382,(-1.051. 1.512. -1.064),(0.273. 0.242. -0.093. 0.927)
10:40:51:404,(-1.049. 1.512. -1.057),(0.274. 0.238. -0.096. 0.927)
10:40:51:427,(-1.046. 1.511. -1.051),(0.277. 0.237. -0.100. 0.926)
10:40:51:448,(-1.044. 1.511. -1.045),(0.279. 0.240. -0.107. 0.924)
10:40:51:471,(-1.043. 1.509. -1.040),(0.280. 0.243. -0.112. 0.922)
10:40:51:493,(-1.041. 1.508. -1.035),(0.280. 0.248. -0.116. 0.920)
10:40:51:515,(-1.040. 1.507. -1.031),(0.281. 0.254. -0.119. 0.918)
10:40:51:537,(-1.039. 1.507. -1.026),(0.280. 0.262. -0.121. 0.915)
10:40:51:56,(-1.039. 1.507. -1.022),(0.280. 0.271. -0.123. 0.913)
10:40:51:582,(-1.040. 1.507. -1.018),(0.278. 0.279. -0.126. 0.911)
10:40:51:604,(-1.041. 1.507. -1.015),(0.272. 0.287. -0.128. 0.909)
10:40:51:626,(-1.042. 1.507. -1.012),(0.265. 0.296. -0.125. 0.909)
10:40:51:65,(-1.045. 1.508. -1.010),(0.255. 0.306. -0.126. 0.909)
10:40:51:671,(-1.048. 1.510. -1.007),(0.251. 0.316. -0.128. 0.906)
10:40:51:693,(-1.052. 1.512. -1.005),(0.247. 0.325. -0.126. 0.904)
10:40:51:717,(-1.056. 1.514. -1.002),(0.243. 0.332. -0.125. 0.903)
10:40:51:738,(-1.060. 1.517. -1.000),(0.238. 0.340. -0.124. 0.902)
10:40:51:76,(-1.064. 1.520. -0.997),(0.233. 0.344. -0.121. 0.901)
10:40:51:782,(-1.068. 1.522. -0.994),(0.228. 0.350. -0.119. 0.901)
10:40:51:805,(-1.072. 1.525. -0.991),(0.222. 0.355. -0.118. 0.901)
10:40:51:826,(-1.077. 1.527. -0.987),(0.214. 0.360. -0.116. 0.901)
10:40:51:85,(-1.081. 1.529. -0.984),(0.206. 0.367. -0.115. 0.900)
10:40:51:872,(-1.085. 1.531. -0.980),(0.198. 0.374. -0.113. 0.899)
