Time, Position, Rotation
15:39:11:91,(1.326. 0.817. 2.792),(0.854. -0.149. 0.067. 0.495)
15:39:11:931,(1.325. 0.817. 2.792),(0.854. -0.148. 0.068. 0.494)
15:39:11:946,(1.325. 0.817. 2.792),(0.854. -0.149. 0.068. 0.494)
15:39:11:954,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:11:963,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:11:973,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:11:984,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:11:995,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:007,(1.325. 0.817. 2.792),(0.854. -0.149. 0.068. 0.494)
15:39:12:018,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:028,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:04,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:051,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:062,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:072,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:083,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:094,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:106,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:117,(1.325. 0.817. 2.792),(0.854. -0.149. 0.068. 0.494)
15:39:12:129,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:139,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:15,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:161,(1.325. 0.817. 2.792),(0.854. -0.149. 0.067. 0.494)
15:39:12:172,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:183,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:195,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:206,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:216,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:228,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:238,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:25,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:261,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:272,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:283,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:294,(1.324. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:305,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:317,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:328,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:339,(1.324. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:35,(1.324. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:361,(1.324. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:372,(1.324. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:383,(1.324. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:394,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:407,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:421,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:428,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
15:39:12:439,(1.325. 0.817. 2.791),(0.854. -0.149. 0.067. 0.494)
