Time, Position, Rotation
10:16:15:483,(2.291. 0.925. 0.166),(-0.498. -0.404. 0.676. -0.362)
10:16:15:995,(2.289. 0.925. 0.166),(-0.498. -0.404. 0.677. -0.362)
10:16:16:496,(2.292. 0.924. 0.167),(-0.498. -0.404. 0.677. -0.362)
10:16:17:004,(2.293. 0.924. 0.167),(-0.498. -0.404. 0.677. -0.362)
10:16:17:504,(2.292. 0.925. 0.167),(-0.498. -0.404. 0.676. -0.362)
10:16:18:008,(2.292. 0.925. 0.166),(-0.498. -0.404. 0.677. -0.362)
10:16:18:514,(2.292. 0.925. 0.167),(-0.498. -0.404. 0.676. -0.362)
10:16:19:025,(2.292. 0.925. 0.166),(-0.498. -0.404. 0.676. -0.362)
10:16:19:526,(2.292. 0.924. 0.167),(-0.498. -0.403. 0.676. -0.362)
10:16:20:036,(2.291. 0.926. 0.166),(-0.498. -0.403. 0.677. -0.362)
10:16:20:547,(2.292. 0.925. 0.165),(-0.498. -0.403. 0.676. -0.362)
10:16:21:048,(2.291. 0.927. 0.162),(-0.498. -0.403. 0.676. -0.363)
10:16:21:558,(2.287. 0.928. 0.157),(-0.498. -0.403. 0.676. -0.363)
10:16:22:069,(2.292. 0.925. 0.166),(-0.498. -0.403. 0.676. -0.362)
10:16:22:581,(2.292. 0.925. 0.167),(-0.498. -0.404. 0.676. -0.362)
10:16:23:09,(2.292. 0.924. 0.166),(-0.498. -0.403. 0.676. -0.362)
10:16:23:601,(2.294. 0.924. 0.167),(-0.499. -0.403. 0.676. -0.362)
10:16:24:103,(2.301. 0.923. 0.169),(-0.499. -0.403. 0.676. -0.362)
10:16:24:612,(2.308. 0.921. 0.171),(-0.499. -0.403. 0.676. -0.362)
10:16:25:112,(2.316. 0.919. 0.173),(-0.499. -0.403. 0.676. -0.362)
10:16:25:624,(2.300. 0.923. 0.169),(-0.499. -0.403. 0.676. -0.362)
10:16:26:134,(2.293. 0.924. 0.167),(-0.499. -0.403. 0.677. -0.362)
10:16:26:645,(2.295. 0.925. 0.168),(-0.499. -0.403. 0.677. -0.362)
10:16:27:145,(2.295. 0.927. 0.169),(-0.499. -0.403. 0.677. -0.362)
10:16:27:656,(2.296. 0.929. 0.170),(-0.499. -0.403. 0.677. -0.362)
10:16:28:166,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:28:667,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:29:178,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:29:688,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:30:188,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:30:692,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:31:198,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:31:709,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:32:209,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:32:719,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:33:23,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:33:731,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:34:241,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:34:752,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:35:265,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:35:774,(2.298. 0.930. 0.172),(-0.499. -0.403. 0.677. -0.362)
10:16:36:275,(1.949. 1.387. -0.094),(0.291. 0.305. -0.371. 0.827)
10:16:36:79,(1.934. 1.560. -0.132),(0.156. 0.368. -0.234. 0.886)
10:16:37:297,(1.915. 1.567. -0.155),(0.265. 0.265. -0.295. 0.879)
10:16:37:797,(1.941. 1.586. -0.173),(0.186. 0.328. -0.349. 0.858)
10:16:38:311,(1.856. 1.594. -0.201),(0.086. 0.528. -0.334. 0.776)
10:16:38:811,(1.881. 1.587. -0.238),(0.029. 0.482. -0.377. 0.790)
10:16:39:319,(1.869. 1.585. -0.303),(-0.040. 0.519. -0.363. 0.773)
10:16:39:83,(1.875. 1.505. -0.313),(-0.023. 0.632. -0.371. 0.680)
10:16:40:333,(1.910. 1.465. -0.338),(-0.054. 0.685. -0.404. 0.604)
10:16:40:84,(1.907. 1.452. -0.317),(0.019. 0.687. -0.388. 0.614)
10:16:41:341,(1.812. 1.492. -0.215),(0.215. 0.473. -0.234. 0.822)
10:16:41:851,(1.765. 1.536. -0.215),(0.126. 0.400. -0.150. 0.895)
10:16:42:363,(1.760. 1.546. -0.214),(0.112. 0.425. -0.112. 0.891)
10:16:42:869,(1.787. 1.529. -0.222),(0.036. 0.559. -0.073. 0.826)
10:16:43:385,(1.803. 1.544. -0.228),(0.027. 0.589. -0.083. 0.804)
10:16:43:895,(1.797. 1.534. -0.241),(0.143. 0.591. -0.121. 0.784)
10:16:44:4,(1.839. 1.497. -0.297),(0.239. 0.710. -0.279. 0.601)
10:16:44:906,(1.865. 1.564. -0.313),(-0.023. 0.690. -0.079. 0.719)
10:16:45:416,(1.869. 1.556. -0.387),(0.015. 0.786. -0.119. 0.607)
