Time, Position, Rotation
10:12:37:915,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:38:417,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:38:92,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:39:425,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:39:929,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:40:436,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:40:942,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:41:443,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:41:942,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:42:449,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:42:954,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:43:457,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:43:96,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:44:467,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:44:968,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:45:472,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:45:973,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:46:474,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:46:981,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:47:487,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:47:994,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:48:498,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:49:001,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:49:5,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:50:,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:50:505,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:51:007,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:51:512,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:52:019,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:52:519,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:53:023,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:53:529,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:54:031,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:54:532,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:55:035,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:55:542,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:56:045,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:56:543,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:57:048,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:57:554,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:58:059,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:58:568,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:59:072,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:12:59:577,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:00:08,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:00:584,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:01:088,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:01:588,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:02:096,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:02:6,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:03:101,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:03:607,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:04:111,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:04:619,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:05:126,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:05:629,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:06:139,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:06:64,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:07:148,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:07:651,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:08:159,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:08:666,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:09:169,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:09:674,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:10:18,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:10:68,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:11:186,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:11:69,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:12:193,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:12:699,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:13:206,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:13:705,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:14:207,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:14:715,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:15:219,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:15:716,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:16:22,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:16:724,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:17:228,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:17:731,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:18:231,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:18:735,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:19:243,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:19:748,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:20:253,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:20:759,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:21:263,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:21:767,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:22:272,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:22:781,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:23:285,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:23:784,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:24:292,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:24:796,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:25:301,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:25:83,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:26:337,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:26:839,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:27:346,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:27:85,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:28:351,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:28:856,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:29:364,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:29:869,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:30:373,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:30:878,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:13:31:378,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
