Time, Position, Rotation
10:38:54:122,(2.275. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:38:54:686,(2.275. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.670)
10:38:55:186,(2.275. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.670)
10:38:55:694,(2.275. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.670)
10:38:56:199,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.670)
10:38:56:707,(2.275. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.670)
10:38:57:226,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.670)
10:38:57:73,(2.275. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.670)
10:38:58:238,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:38:58:739,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:38:59:251,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:38:59:76,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:00:263,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.670)
10:39:00:77,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:01:281,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:01:791,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:02:302,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.671)
10:39:02:813,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.671)
10:39:03:317,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.671)
10:39:03:824,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:04:328,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.671)
10:39:04:834,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:05:339,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:05:846,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:06:356,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:06:868,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:07:378,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:07:889,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:08:402,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:08:91,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:09:421,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.670)
10:39:09:933,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:10:443,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.671)
10:39:10:955,(2.275. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.671)
10:39:11:465,(2.275. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:11:976,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:12:487,(2.275. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:12:998,(2.275. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:13:51,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:14:02,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.670)
10:39:14:53,(2.276. 1.119. 0.405),(-0.041. -0.739. -0.050. 0.671)
10:39:15:042,(2.275. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:15:552,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:16:052,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:16:558,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
10:39:17:064,(2.276. 1.119. 0.404),(-0.041. -0.739. -0.050. 0.671)
