Time, Position, Rotation
11:00:12:591,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:13:095,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:13:598,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:14:105,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:14:605,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:15:112,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:15:62,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:16:122,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:16:625,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:17:131,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:17:635,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:18:135,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:18:641,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:19:141,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:19:648,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:20:15,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:20:652,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:21:16,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:21:659,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:22:166,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:22:671,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:23:175,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:23:681,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:24:183,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:24:69,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:25:192,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:25:692,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:26:198,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:26:701,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:27:204,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:27:714,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:28:218,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
11:00:28:718,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
