Time, Position, Rotation
14:58:08:498,(0.959. 1.634. 0.071),(0.137. -0.668. 0.158. 0.714)
14:58:09:047,(0.994. 1.659. 0.050),(0.063. -0.691. 0.080. 0.716)
14:58:09:549,(0.993. 1.654. 0.054),(0.080. -0.695. 0.100. 0.707)
14:58:10:056,(0.999. 1.633. 0.049),(0.152. -0.677. 0.177. 0.698)
14:58:10:567,(0.999. 1.619. 0.043),(0.190. -0.654. 0.213. 0.701)
14:58:11:069,(0.990. 1.607. 0.041),(0.215. -0.641. 0.246. 0.695)
14:58:11:577,(0.985. 1.602. 0.035),(0.230. -0.673. 0.252. 0.657)
14:58:12:089,(0.978. 1.602. 0.032),(0.228. -0.681. 0.257. 0.646)
14:58:12:6,(0.971. 1.602. 0.036),(0.226. -0.653. 0.254. 0.676)
14:58:13:111,(0.961. 1.603. 0.038),(0.222. -0.643. 0.249. 0.690)
14:58:13:621,(0.948. 1.605. 0.046),(0.211. -0.641. 0.242. 0.697)
14:58:14:125,(0.946. 1.603. 0.049),(0.218. -0.639. 0.247. 0.695)
14:58:14:626,(0.940. 1.602. 0.046),(0.218. -0.640. 0.249. 0.694)
14:58:15:131,(0.935. 1.602. 0.044),(0.218. -0.641. 0.252. 0.691)
14:58:15:632,(0.929. 1.601. 0.040),(0.219. -0.641. 0.255. 0.690)
14:58:16:132,(0.927. 1.600. 0.036),(0.219. -0.642. 0.256. 0.689)
14:58:16:642,(0.929. 1.601. 0.034),(0.215. -0.641. 0.252. 0.692)
14:58:17:152,(0.938. 1.617. 0.038),(0.184. -0.627. 0.214. 0.726)
14:58:17:662,(0.944. 1.629. 0.039),(0.153. -0.618. 0.185. 0.749)
14:58:18:174,(0.944. 1.632. 0.035),(0.154. -0.623. 0.176. 0.746)
14:58:18:678,(0.946. 1.631. 0.012),(0.156. -0.733. 0.176. 0.638)
14:58:19:177,(0.950. 1.633. 0.004),(0.142. -0.769. 0.171. 0.600)
14:58:19:681,(0.968. 1.651. -0.073),(-0.065. 0.935. -0.098. -0.336)
14:58:20:199,(1.014. 1.663. -0.138),(-0.016. 0.981. -0.055. -0.186)
14:58:20:713,(0.982. 1.670. -0.177),(-0.003. 0.994. -0.021. -0.111)
14:58:21:222,(0.876. 1.672. -0.167),(-0.010. 0.995. -0.043. -0.085)
14:58:21:734,(0.981. 1.677. -0.153),(0.017. 0.999. -0.028. -0.029)
14:58:22:245,(1.001. 1.679. -0.137),(0.015. 1.000. -0.017. -0.019)
14:58:22:76,(0.962. 1.676. -0.122),(0.011. 0.998. -0.044. -0.032)
14:58:23:277,(0.954. 1.672. -0.123),(0.011. 0.998. -0.056. -0.019)
14:58:23:79,(0.949. 1.673. -0.121),(0.010. 0.999. -0.049. -0.007)
14:58:24:326,(0.944. 1.674. -0.109),(0.005. 0.999. -0.041. -0.004)
14:58:24:836,(0.943. 1.676. -0.105),(0.000. 1.000. -0.031. -0.006)
14:58:25:344,(0.945. 1.679. -0.112),(-0.003. 1.000. -0.018. -0.006)
14:58:25:855,(0.936. 1.671. -0.128),(-0.001. 0.998. -0.055. -0.015)
14:58:26:365,(0.923. 1.664. -0.148),(0.003. 0.996. -0.086. -0.031)
14:58:26:877,(0.819. 1.651. -0.130),(0.011. 0.998. -0.062. -0.023)
