Time, Position, Rotation
15:36:50:422,(1.325. 0.817. 2.792),(0.854. -0.148. 0.067. 0.494)
15:36:50:447,(1.325. 0.817. 2.791),(0.853. -0.149. 0.066. 0.495)
15:36:50:462,(1.325. 0.817. 2.791),(0.854. -0.148. 0.067. 0.495)
15:36:50:476,(1.325. 0.817. 2.792),(0.854. -0.148. 0.067. 0.495)
15:36:50:488,(1.325. 0.817. 2.792),(0.854. -0.148. 0.067. 0.495)
15:36:50:5,(1.325. 0.817. 2.792),(0.854. -0.148. 0.067. 0.495)
15:36:50:51,(1.325. 0.817. 2.792),(0.854. -0.148. 0.067. 0.495)
15:36:50:521,(1.325. 0.817. 2.792),(0.854. -0.148. 0.067. 0.495)
15:36:50:531,(1.325. 0.817. 2.792),(0.854. -0.148. 0.067. 0.495)
15:36:50:541,(1.325. 0.817. 2.792),(0.854. -0.148. 0.067. 0.495)
15:36:50:552,(1.325. 0.817. 2.792),(0.854. -0.148. 0.066. 0.495)
15:36:50:563,(1.325. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:574,(1.325. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:585,(1.325. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:596,(1.325. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:608,(1.325. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:619,(1.326. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:63,(1.326. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:641,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:652,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:663,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:674,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.495)
15:36:50:685,(1.326. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:697,(1.326. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:708,(1.326. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:719,(1.325. 0.817. 2.792),(0.854. -0.149. 0.066. 0.494)
15:36:50:729,(1.326. 0.817. 2.792),(0.854. -0.149. 0.066. 0.494)
15:36:50:74,(1.325. 0.817. 2.792),(0.854. -0.149. 0.065. 0.494)
15:36:50:752,(1.325. 0.817. 2.792),(0.854. -0.149. 0.066. 0.494)
15:36:50:763,(1.325. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:774,(1.325. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:785,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:796,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:807,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:818,(1.326. 0.817. 2.792),(0.854. -0.149. 0.066. 0.494)
15:36:50:829,(1.326. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:84,(1.326. 0.817. 2.792),(0.854. -0.149. 0.065. 0.495)
15:36:50:851,(1.326. 0.817. 2.792),(0.854. -0.149. 0.065. 0.495)
15:36:50:863,(1.326. 0.817. 2.792),(0.854. -0.149. 0.065. 0.495)
15:36:50:874,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:885,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:896,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:907,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:919,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:929,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:50:941,(1.326. 0.817. 2.792),(0.854. -0.148. 0.065. 0.495)
15:36:50:952,(1.326. 0.817. 2.792),(0.854. -0.149. 0.065. 0.494)
15:36:50:963,(1.326. 0.817. 2.792),(0.854. -0.149. 0.065. 0.495)
15:36:50:974,(1.326. 0.817. 2.792),(0.854. -0.149. 0.066. 0.495)
15:36:50:989,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.495)
15:36:50:999,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:51:009,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:51:019,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:51:03,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:51:041,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
15:36:51:052,(1.326. 0.817. 2.792),(0.854. -0.148. 0.066. 0.494)
